q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,دو,دو,Urns---,2,NUM,CV,1,2,f,(ROOT (S (VPF (VPA-nid (PPC (Urns----- *),6,0,0,1
1,2,مرغابی,مرغابی,Ncsp---,3,NounCOOR,CVCCVCV,3,6,c,(N (Ncsp------ *),2,0,1,2
1,3,و,و,Jr-,14,NSUBJ,CV,1,1,f,(Jr------- *),1,0,0,1
1,4,یک,یک,Urns---,6,NUM,CVC,1,2,f,(Urns----- *))),1,0,1,0
1,5,لاک-پشت,***not found***لاک-پشت***Ls-
1,6,مدت-ها,مدت-,Nclp---,3,NounCOOR,CVCCVCC,3,6,c,(ADJPA (NUM (Nclp------ *),3,1,1,0
1,7,در,در,E-,14,VMOD,CVC,1,2,f,(E------- *),1,0,1,0
1,8,آبگیری,آبگیر,Ncspk-y,7,POBJ,CVCCVCV,3,6,c,(Ncspk---y- *),1,0,1,2
1,9,با,با,E-,8,NN,CV,1,2,f,(E------- *),1,0,0,1
1,10,صلح,صلح,Ncsp---,11,NounCOOR,CVCC,1,3,c,(Ncsp------ *)),1,1,0,0
1,11,و,و,Jr-,9,POBJ,CV,1,1,f,(Jr------- *))),1,0,0,1
1,12,آرامش,آرامش,Ncsp---,11,NounCOOR,CVCVCVC,3,5,c,(PPC-nid (Ncsp------ *),2,0,1,2
1,13,زندگی,زندگی,Ncsp---,14,MWE,CVCCVCV,3,5,c,(DPC-nid (DPC (Ncsp------ *),3,0,1,2
1,14,می-کردند,***not found***می-کردند***Vpyslhti---
1,15,،,،,Oc,14,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,16,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *)))),1,0,0,1
1,17,یار,یار,Ncsp---,18,NounCOOR,CVC,1,3,c,(DiscE (CLR (Ncsp------ *),3,0,1,0
1,18,و,و,Jr-,21,NSUBJ,CV,1,1,f,(VPSD (VPC (ADJPC (Jr------- *),4,0,0,1
1,19,غمخوار,***not found***غمخوار***Ncsp--z
1,20,یکدیگر,***not found***یکدیگر***Zc------
1,21,بودند,بودن,Vpyklht----,16,VerbCOOR,CVCVCC,2,5,c,(Vpyk-lht------ *)))))),1,1,0,1
1,22,.,.,Oe,16,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,اتفاقاٌ,***not found***اتفاقاٌ***Ncsp--z
2,2,آب,آب,Ncsp--z,1,NN,CVCV,2,2,c,(Ncsp----z- *)),1,0,0,2
2,3,آبگیر,آبگیر,Ncspk--,2,NN,CVCCVC,2,5,c,(N (Ncspk----- *),2,0,2,0
2,4,کم,***not found***کم***Aps-
2,5,شد,شدن,Vpyssht----,6,VerbCOOR,CVC,1,2,c,(Vpys-sht------ *))),1,0,1,0
